,0
0,0
1,0
2,2
3,1
4,1
5,0
6,0
7,1
8,2
9,2
10,1
11,2
12,1
13,2
14,1
15,0
16,2
17,1
18,0
19,0
20,0
21,1
22,2
23,0
24,0
25,0
26,1
27,0
28,1
29,2
30,0
31,1
32,2
33,0
34,2
35,2
36,1
37,1
38,2
39,1
40,0
41,1
42,2
43,0
44,0
45,1
46,2
47,0
48,2
49,0
50,0
51,2
52,1
53,2
54,2
55,2
56,2
57,1
58,0
59,0
60,2
61,2
62,0
63,0
64,0
65,1
66,2
67,0
68,2
69,2
70,0
71,1
72,1
73,2
74,1
75,2
76,0
77,2
78,1
79,2
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,2
89,2
90,0
91,1
92,2
93,2
94,0
95,2
96,0
97,1
98,2
99,2
100,1
101,2
102,1
103,1
104,2
105,2
106,0
107,1
108,1
109,0
110,1
111,2
